dolnoœl¹skie;boles³awiecki;t0201;308
dolnoœl¹skie;dzier¿oniowski;t0202;241
dolnoœl¹skie;g³ogowski;t0203;242
dolnoœl¹skie;górowski;t0204;270
dolnoœl¹skie;jaworski;t0205;218
dolnoœl¹skie;karkonoski;t0206;306
dolnoœl¹skie;kamiennogórski;t0207;219
dolnoœl¹skie;k³odzki;t0208;309
dolnoœl¹skie;legnicki;t0209;325
dolnoœl¹skie;lubañski;t0210;311
dolnoœl¹skie;lubiñski;t0211;326
dolnoœl¹skie;lwówecki;t0212;327
dolnoœl¹skie;milicki;t0213;322
dolnoœl¹skie;oleœnicki;t0214;307
dolnoœl¹skie;o³awski;t0215;319
dolnoœl¹skie;polkowicki;t0216;320
dolnoœl¹skie;strzeliñski;t0217;323
dolnoœl¹skie;œredzki;t0218;321
dolnoœl¹skie;œwidnicki;t0219;324
dolnoœl¹skie;trzebnicki;t0220;374
dolnoœl¹skie;wa³brzyski;t0221;341
dolnoœl¹skie;wo³owski;t0222;314
dolnoœl¹skie;wroc³awski;t0223;316
dolnoœl¹skie;z¹bkowicki;t0224;375
dolnoœl¹skie;zgorzelecki;t0225;245
dolnoœl¹skie;z³otoryjski;t0226;304
dolnoœl¹skie;m. Jelenia Góra;t0261;237
dolnoœl¹skie;m. Legnica;t0262;305
dolnoœl¹skie;m. Wroc³aw;t0264;221
dolnoœl¹skie;m. Wa³brzych;t0265;380
kujawsko-pomorskie;aleksandrowski;t0401;315
kujawsko-pomorskie;brodnicki;t0402;317
kujawsko-pomorskie;bydgoski;t0403;318
kujawsko-pomorskie;che³miñski;t0404;379
kujawsko-pomorskie;golubsko-dobrzyñski;t0405;310
kujawsko-pomorskie;grudzi¹dzki;t0406;312
kujawsko-pomorskie;inowroc³awski;t0407;313
kujawsko-pomorskie;lipnowski;t0408;328
kujawsko-pomorskie;mogileñski;t0409;377
kujawsko-pomorskie;nakielski;t0410;339
kujawsko-pomorskie;radziejowski;t0411;338
kujawsko-pomorskie;rypiñski;t0412;340
kujawsko-pomorskie;sêpoleñski;t0413;376
kujawsko-pomorskie;œwiecki;t0414;331
kujawsko-pomorskie;toruñski;t0415;332
kujawsko-pomorskie;tucholski;t0416;378
kujawsko-pomorskie;w¹brzeski;t0417;329
kujawsko-pomorskie;w³oc³awski;t0418;330
kujawsko-pomorskie;¿niñski;t0419;333
kujawsko-pomorskie;m. Bydgoszcz;t0461;334
kujawsko-pomorskie;m. Grudzi¹dz;t0462;335
kujawsko-pomorskie;m. Toruñ;t0463;336
kujawsko-pomorskie;m. W³oc³awek;t0464;337
lubelskie;bialski;t0601;43
lubelskie;bi³gorajski;t0602;44
lubelskie;che³mski;t0603;45
lubelskie;hrubieszowski;t0604;46
lubelskie;janowski;t0605;47
lubelskie;krasnostawski;t0606;48
lubelskie;kraœnicki;t0607;49
lubelskie;lubartowski;t0608;50
lubelskie;lubelski;t0609;51
lubelskie;³êczyñski;t0610;52
lubelskie;³ukowski;t0611;53
lubelskie;opolski;t0612;54
lubelskie;parczewski;t0613;55
lubelskie;pu³awski;t0614;56
lubelskie;radzyñski;t0615;57
lubelskie;rycki;t0616;58
lubelskie;œwidnicki;t0617;59
lubelskie;tomaszowski;t0618;60
lubelskie;w³odawski;t0619;62
lubelskie;zamojski;t0620;63
lubelskie;m. Bia³a Podlaska;t0661;61
lubelskie;m. Che³m;t0662;65
lubelskie;m. Lublin;t0663;64
lubelskie;m. Zamoœæ;t0664;66
lubuskie;gorzowski;t0801;108
lubuskie;kroœnieñski;t0802;109
lubuskie;miêdzyrzecki;t0803;110
lubuskie;nowosolski;t0804;111
lubuskie;s³ubicki;t0805;112
lubuskie;strzelecko-drezdenecki;t0806;113
lubuskie;sulêciñski;t0807;114
lubuskie;œwiebodziñski;t0808;115
lubuskie;zielonogórski;t0809;342
lubuskie;¿agañski;t0810;116
lubuskie;¿arski;t0811;105
lubuskie;wschowski;t0812;358
lubuskie;m. Gorzów Wielkopolski;t0861;107
lubuskie;m. Zielona Góra;t0862;106
³ódzkie;be³chatowski;t1001;86
³ódzkie;kutnowski;t1002;87
³ódzkie;³aski;t1003;88
³ódzkie;³êczycki;t1004;89
³ódzkie;³owicki;t1005;90
³ódzkie;³ódzki wschodni;t1006;91
³ódzkie;opoczyñski;t1007;92
³ódzkie;pabianicki;t1008;93
³ódzkie;pajêczañski;t1009;94
³ódzkie;piotrkowski;t1010;95
³ódzkie;poddêbicki;t1011;355
³ódzkie;radomszczañski;t1012;96
³ódzkie;rawski;t1013;356
³ódzkie;sieradzki;t1014;97
³ódzkie;skierniewicki;t1015;357
³ódzkie;tomaszowski;t1016;98
³ódzkie;wieluñski;t1017;99
³ódzkie;wieruszowski;t1018;101
³ódzkie;zduñskowolski;t1019;100
³ódzkie;zgierski;t1020;102
³ódzkie;brzeziñski;t1021;103
³ódzkie;m. £ódŸ;t1061;104
³ódzkie;m. Piotrków Trybunalski;t1062;84
³ódzkie;m. Skierniewice;t1063;85
ma³opolskie;bocheñski;t1201;68
ma³opolskie;brzeski;t1202;67
ma³opolskie;chrzanowski;t1203;69
ma³opolskie;d¹browski;t1204;350
ma³opolskie;gorlicki;t1205;70
ma³opolskie;krakowski;t1206;71
ma³opolskie;limanowski;t1207;351
ma³opolskie;miechowski;t1208;72
ma³opolskie;myœlenicki;t1209;73
ma³opolskie;nowos¹decki;t1210;74
ma³opolskie;nowotarski;t1211;75
ma³opolskie;olkuski;t1212;76
ma³opolskie;oœwiêcimski;t1213;77
ma³opolskie;proszowicki;t1214;352
ma³opolskie;suski;t1215;353
ma³opolskie;tarnowski;t1216;78
ma³opolskie;tatrzañski;t1217;354
ma³opolskie;wadowicki;t1218;79
ma³opolskie;wielicki;t1219;81
ma³opolskie;m. Kraków;t1261;82
ma³opolskie;m. Nowy S¹cz;t1262;83
ma³opolskie;m. Tarnów;t1263;80
mazowieckie;bia³obrzeski;t1401;347
mazowieckie;ciechanowski;t1402;33
mazowieckie;garwoliñski;t1403;34
mazowieckie;gostyniñski;t1404;35
mazowieckie;grodziski;t1405;348
mazowieckie;grójecki;t1406;36
